,Unnamed: 0.1,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GoodFloorAreaSFabovegrade,TotalFinishedAreaSF,BsmtFullBath,TotalBathroomsAboveGrade,TotalBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotalRooms_bathroomas1,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,TotalPorchArea,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,agebyyrbuilt,agebyyrremodel,OA2,TotalGrBsmtSF
0,0,1,60,RL,65.0,8450,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,150,856,GasA,Ex,Y,SBrkr,856,854,1710,2416,1,2.5,3.5,3,1,Gd,8,8,Typ,0,No Fireplace,Attchd,2003.0,RFn,2,TA,TA,Y,0,61,61,0,No Pool,No Fence,None,0,2,2008,WD,Normal,208500,5,5,3310.0,2566
1,1,2,20,RL,80.0,9600,Pave,No Alley Access,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,284,1262,GasA,Ex,Y,SBrkr,1262,0,1262,2240,0,2.0,2.5,3,1,TA,7,6,Typ,1,TA,Attchd,1976.0,RFn,2,TA,TA,Y,298,0,0,0,No Pool,No Fence,None,0,5,2007,WD,Normal,181500,31,31,2984.0,2524
2,2,3,60,RL,68.0,11250,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,434,920,GasA,Ex,Y,SBrkr,920,866,1786,2272,1,2.5,3.5,3,1,Gd,8,6,Typ,1,TA,Attchd,2001.0,RFn,2,TA,TA,Y,0,42,42,0,No Pool,No Fence,None,0,9,2008,WD,Normal,223500,7,6,3476.0,2706
3,3,4,70,RL,60.0,9550,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,1915,1970,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,540,756,GasA,Gd,Y,SBrkr,961,756,1717,1933,1,1.0,2.0,3,1,Gd,6,7,Typ,1,Gd,Detchd,1998.0,Unf,3,TA,TA,Y,0,35,307,0,No Pool,No Fence,None,0,2,2006,WD,Abnorml,140000,91,36,3115.0,2473
4,4,5,60,RL,84.0,14260,Pave,No Alley Access,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,490,1145,GasA,Ex,Y,SBrkr,1145,1053,2198,2853,1,2.5,3.5,4,1,Gd,9,9,Typ,1,TA,Attchd,2000.0,RFn,3,TA,TA,Y,192,84,84,0,No Pool,No Fence,None,0,12,2008,WD,Normal,250000,8,8,4529.0,3343
5,5,6,50,RL,85.0,14115,Pave,No Alley Access,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,64,796,GasA,Ex,Y,SBrkr,796,566,1362,2094,1,1.5,2.5,1,1,TA,5,5,Typ,0,No Fireplace,Attchd,1993.0,Unf,2,TA,TA,Y,40,30,350,0,No Pool,MnPrv,Shed,700,10,2009,WD,Normal,143000,16,14,2638.0,2158
6,6,7,20,RL,75.0,10084,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,317,1686,GasA,Ex,Y,SBrkr,1694,0,1694,3063,1,2.0,3.0,3,1,Gd,7,7,Typ,1,Gd,Attchd,2004.0,RFn,2,TA,TA,Y,255,57,57,0,No Pool,No Fence,None,0,8,2007,WD,Normal,307000,3,2,4202.0,3380
7,7,8,60,RL,0.0,10382,Pave,No Alley Access,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,216,1107,GasA,Ex,Y,SBrkr,1107,983,2090,2981,1,2.5,3.5,3,1,TA,8,7,Typ,2,TA,Attchd,1973.0,RFn,2,TA,TA,Y,235,204,432,0,No Pool,No Fence,Shed,350,11,2009,WD,Normal,200000,36,36,3921.0,3197
8,8,9,50,RM,51.0,6120,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,1931,1950,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,952,952,GasA,Gd,Y,FuseF,1022,752,1774,1774,0,2.0,2.0,2,2,TA,6,8,Min1,2,TA,Detchd,1931.0,Unf,2,Fa,TA,Y,90,0,205,0,No Pool,No Fence,None,0,4,2008,WD,Abnorml,129900,77,58,3194.0,2726
9,9,10,190,RL,50.0,7420,Pave,No Alley Access,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2FmCon,1.5Unf,5,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,140,991,GasA,Ex,Y,SBrkr,1077,0,1077,1928,1,1.0,2.0,2,2,TA,6,5,Typ,2,TA,Attchd,1939.0,RFn,1,Gd,TA,Y,0,4,4,0,No Pool,No Fence,None,0,1,2008,WD,Normal,118000,69,58,2273.0,2068
10,10,11,20,RL,70.0,11200,Pave,No Alley Access,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,134,1040,GasA,Ex,Y,SBrkr,1040,0,1040,1946,1,1.0,2.0,3,1,TA,6,5,Typ,0,No Fireplace,Detchd,1965.0,Unf,1,TA,TA,Y,0,0,0,0,No Pool,No Fence,None,0,2,2008,WD,Normal,129500,43,43,2464.0,2080
